product_name,opening_stock,purchase_rate,purchase_qty,selling_rate,sales_qty,sales_value,closing_stock,summary_date
Lay'S Chips Green,10,32,10,48,2,96,18,2026-04-13
Lay'S Chips Yellow,9,0,0,48,1,48,8,2026-04-13
Lay'S Chips Blue,10,33,9,48,7,336,12,2026-04-13
Bingo Salt Chips,10,0,0,50,0,0,10,2026-04-13
Bingo Chili Chips,7,0,0,50,3,150,4,2026-04-13
Bingo Mad angels Chips,5,32,3,50,4,200,4,2026-04-13
Kur Kure,5,0,0,30,3,90,2,2026-04-13
To Yummy Chips,6,0,0,50,2,100,4,2026-04-13
Penut Chikki Prufe,4,0,0,40,0,0,4,2026-04-13
Cavin's Kaju Butterscotch Milkshake,5,35,2,40,5,200,2,2026-04-13
Heritage Badam Milk,4,20,10,30,6,180,8,2026-04-13
Heritage Pista Milk,4,20,10,30,7,210,7,2026-04-13
Bounty Chocolate,10,0,0,100,3,300,7,2026-04-13
Snickers Butterscotch Flavour Chocolate Bar,12,45,4,70,6,420,10,2026-04-13
Snickers Chocolate Bar,24,30,5,45,12,540,17,2026-04-13
Snickers Chocolate penut Bar,4,0,0,50,4,200,0,2026-04-13
Snickers Chocolate Strawberry,1,53,4,70,1,70,4,2026-04-13
Crispello Dairy Milk Chocolate,14,0,0,40,14,560,0,2026-04-13
Kit Kat Chocolate,10,18.59,18,20,10,200,18,2026-04-13
Red Bull,19,0,0,125,7,875,12,2026-04-13
Predator Energy Drink,8,0,0,60,2,120,6,2026-04-13
Monster Energy Drink,9,0,0,125,0,0,9,2026-04-13
Sprite Drink,17,0,0,40,12,480,5,2026-04-13
Thums Up Drink,15,32,22,40,25,1000,12,2026-04-13
Budweiser Normal,6,0,0,115,1,115,5,2026-04-13
Budweiser Apple,8,0,0,115,1,115,7,2026-04-13
Water Bottel,19,20,438,25,51,1275,406,2026-04-13
Lotte Choco Pie,36,0,0,10,9,90,27,2026-04-13
Gold Flake Indie Mint,10,0,0,115,5,575,5,2026-04-13
Gold Flake King's,4,0,0,240,0,0,4,2026-04-13
Gold Flake King Lights,4,0,0,170,0,0,4,2026-04-13
Shift Millennium Edition,4,0,0,380,0,0,4,2026-04-13
Gold Flake Mixpod,4,0,0,240,1,240,3,2026-04-13
Classic Ice Burst,4,0,0,480,0,0,4,2026-04-13
Marlboro,4,0,0,480,0,0,4,2026-04-13
American Club L.I.T,4,0,0,200,2,400,2,2026-04-13
Haldiram's Moong Dal,4,0,0,57,0,0,4,2026-04-13
Haldiram's All in One,2,0,0,57,0,0,2,2026-04-13
A-1 Chips Tapical Chips,2,0,0,70,0,0,2,2026-04-13
A-1 Chips Sesame Crispy,2,0,0,80,0,0,2,2026-04-13
To Yummy Chips ( Spicy Chili),0,33,5,45,0,0,5,2026-04-13
Cavin's Chocolate Milkshake,0,28,2,40,0,0,2,2026-04-13
Dairy Milk Chocolate,0,9,56,10,0,0,56,2026-04-13
Smoodh -Chocolate,0,16,10,20,0,0,10,2026-04-13
Smoodh -Toffe Caramel,0,16,7,20,0,0,7,2026-04-13
Smoodh -Chocolate Hozel Nut,0,16,7,20,0,0,7,2026-04-13
Coca-Cola Zero Sugar,0,35,20,40,0,0,20,2026-04-13
Dairy Milk Chocolate (20.2 g),0,18,40,20,0,0,40,2026-04-13
Elite Banana Pudding Cake,0,45,2,60,0,0,2,2026-04-13
Elite Dates Pudding Cake,0,45,2,60,0,0,2,2026-04-13
Uncle Chips,0,33,2,48,0,0,2,2026-04-13
Town Bus ( Butter Murukku),0,30,6,60,0,0,6,2026-04-13
Town Bus ( Madras Mixture ),0,30,8,60,0,0,8,2026-04-13
