147 Snooker Bevarge Sale Details ,,,,,,,,,,,,,
S.No,Date,Month,Description,Rate,Qty,Total Amount,Remarks,,,,,,
1,3/17/2026,Mar,Kitkat,20,3,60,Cash,,,,,,
2,3/17/2026,Mar,Dairy Milk,40,1,40,Cash,,,,,,
3,3/17/2026,Mar,Maza,10,2,20,Cash,,,,,,
4,3/17/2026,Mar,Red Bull,125,1,125,Cash,,,,,,
5,3/17/2026,Mar,Red Bull,125,1,125,Cash,,,,,,
6,3/18/2026,Mar,Mathankulfi,50,1,50,Cash,,,,,,
7,3/18/2026,Mar,Butyter scotch cone,40,1,40,Cash,,,,,,
8,3/18/2026,Mar,Ice Cream Sandwich,30,1,30,Cash,,,,,,
9,3/18/2026,Mar,Ice Cream Sandwich,30,1,30,Cash,,,,,,
10,3/18/2026,Mar,Sprite,40,1,40,Gpay,,,,,,
11,3/18/2026,Mar,Budhweiser Non Apple,115,1,115,Gpay,,,,,,
12,3/18/2026,Mar,Arabian Fantasy Cone,20,1,20,Cash,,,,,,
13,4/1/2026,Apr,Triple Bar Ice,50,2,100,,,,,,,
14,4/1/2026,Apr,Kulpi Stik,25,1,25,,,,,,,
15,4/1/2026,Apr,To Yummy Chips,45,1,45,Cash,,,,,,
16,4/1/2026,Apr,Ice Black curran,25,1,25,,,,,,,
17,4/1/2026,Apr,Water bottel ,25,1,25,Gpay,,,,,,
18,4/2/2026,Apr,Ice Strawberry Cone,30,1,30,Gpay,,,,,,
19,4/2/2026,Apr,Water bottel ,25,1,25,Gpay,,,,,,
20,4/2/2026,Apr,Kitkat,20,1,20,Gpay,,,,,,
21,4/3/2026,Apr,Coca-Cola Zero Sugar,40,1,40,Gpay,,,,,,
22,4/3/2026,Apr,Butter scotch cone,25,2,50,Gpay,,,,,,
23,4/3/2026,Apr,Water bottel ,25,2,50,Gpay,,,,,,
24,4/3/2026,Apr,Kitkat,20,1,20,Cash,,,,,,
25,4/3/2026,Apr,Choco Bar Ice,20,2,40,Cash-30 / Gpay-10,,,,,,
26,4/3/2026,Apr,Water bottel ,25,1,25,Gpay,,,,,,
27,4/3/2026,Apr,Arabian Fantasy Cone Ice,20,1,20,Ashik,,,,,,
28,4/3/2026,Apr,Choco Lienior cone,40,1,40,Gpay,,,,,,
29,4/3/2026,Apr,Black Current Cone Ice,40,1,40,Gpay,,,,,,
30,4/3/2026,Apr,Red Velvet Cone Ice,40,2,80,Gpay,,,,,,
31,4/3/2026,Apr,Bada Cup Vanilla Ice,20,1,20,Gpay,,,,,,
32,4/3/2026,Apr,Bada Cup Vanilla Ice,20,1,20,Gpay,,,,,,
33,4/3/2026,Apr,Bada Cup Starwberry Ice,20,1,20,Gpay,,,,,,
34,4/3/2026,Apr,Sprite Drink,40,1,40,Gpay,,,,,,
35,4/3/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
36,4/3/2026,Apr,Snickers Chocolate penut Bar,50,1,50,Gpay,,,,,,
37,4/3/2026,Apr,Kit Kat Chocolate,20,1,20,Gpay,,,,,,
38,4/3/2026,Apr,Bounty Chocolate,100,1,100,Gpay,,,,,,
39,4/3/2026,Apr,Lay'S Chips Blue,48,1,48,Ashik,,,,,,
40,4/3/2026,Apr,Lay'S Chips Blue,48,1,48,Ashik,,,,,,
41,4/3/2026,Apr,Kwkie Sundal Ice,35,1,35,Gpay,,,,,,
42,4/3/2026,Apr,Budweiser Apple,115,1,115,Gpay,,,,,,
43,4/3/2026,Apr,Bounty Chocolate,100,1,100,Gpay,,,,,,
44,4/3/2026,Apr,Kwkie Sundal Ice,35,1,35,Gpay,,,,,,
45,4/4/2026,Apr,Kit Kat Chocolate,20,1,20,Cash,,,,,,
46,4/4/2026,Apr,Crispello Dairy Milk Chocolate ,40,1,40,Cash,,,,,,
47,4/4/2026,Apr,Red Bull,125,1,125,Cash,,,,,,
48,4/4/2026,Apr,Snickers Butterscotch Flavour Chocolate Bar ,70,3,210,Cash,,,,,,
49,4/4/2026,Apr,Red Bull,125,1,125,Cash,,,,,,
50,4/4/2026,Apr,Lay'S Chips Green,48,1,48,Gpay,,,,,,
51,4/4/2026,Apr,Heritage Pista Milk,30,1,30,Gpay,,,,,,
52,4/4/2026,Apr,Water bottel ,25,2,50,Gpay,,,,,,
53,4/4/2026,Apr,Snickers Butterscotch Flavour Chocolate Bar ,70,1,70,Cash,,,,,,
54,4/4/2026,Apr,Heritage Pista Milk,30,1,30,Gpay,,,,,,
55,4/4/2026,Apr,Choco Cone Ice,25,1,25,Cash,,,,,,
56,4/4/2026,Apr,Lotte Choco Pie,10,1,10,Cash,,,,,,
57,4/4/2026,Apr,Lay'S Chips Green,48,1,48,Gpay,,,,,,
58,4/4/2026,Apr,Lay'S Chips Yellow,48,1,48,Gpay,,,,,,
59,4/4/2026,Apr,Heritage Badam Milk,30,1,30,Cash,,,,,,
60,4/4/2026,Apr,Water bottel ,25,2,50,Cash,,,,,,
61,4/4/2026,Apr,Thums Up Drink,40,2,80,Gpay,,,,,,
62,4/4/2026,Apr,Heritage Badam Milk,30,1,30,Gpay,,,,,,
63,4/4/2026,Apr,Choco Bar Ice,20,5,100,Gpay,,,,,,
64,4/4/2026,Apr,Black Current Cone Ice,25,1,25,Cash,,,,,,
65,4/4/2026,Apr,Choco Cone Ice,25,1,25,Cash,,,,,,
66,4/4/2026,Apr,Hazel Nut Ice ,50,1,50,Cash,,,,,,
67,4/4/2026,Apr,Cone Ice,25,1,25,Cash,,,,,,
68,4/4/2026,Apr,Red Bull,125,1,125,Cash,,,,,,
69,4/4/2026,Apr,Crispello Dairy Milk Chocolate ,40,1,40,Cash,,,,,,
70,4/4/2026,Apr,Bingo Mad angels Chips,50,1,50,Cash,,,,,,
71,4/4/2026,Apr,Snickers Butterscotch Flavour Chocolate Bar ,70,1,70,Cash,,,,,,
72,4/4/2026,Apr,Sprite Drink,40,1,40,Cash,,,,,,
73,4/4/2026,Apr,Thums Up Drink,40,1,40,Cash,,,,,,
74,4/4/2026,Apr,Snickers Chocolate penut Bar,50,1,50,Cash,,,,,,
75,4/4/2026,Apr,Ice Cream Sandwich,30,2,60,Gpay,,,,,,
76,4/4/2026,Apr,Junier Sundai Ice,30,1,30,Gpay,,,,,,
77,4/4/2026,Apr,Ice Cream Sandwich,30,1,30,Gpay,,,,,,
78,4/4/2026,Apr,Sprite Drink,40,2,80,Gpay,,,,,,
79,4/4/2026,Apr,Kur Kure,30,1,30,Gpay,,,,,,
80,4/4/2026,Apr,Gold Flake Mixpod,240,1,240,Gpay,,,,,,
81,4/4/2026,Apr,Water bottel ,25,1,25,Gpay,,,,,,
82,4/4/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
83,4/4/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
84,4/5/2026,Apr,Sprite Drink,40,1,40,Gpay,,,,,,
85,4/5/2026,Apr,Snickers Chocolate penut Bar,50,1,50,Gpay,,,,,,
86,4/5/2026,Apr,Bingo Mad angels Chips,50,1,50,Gpay,,,,,,
87,4/5/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
88,4/5/2026,Apr,Kit Kat Chocolate,20,2,40,Gpay,,,,,,
89,4/5/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
90,4/5/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
91,4/5/2026,Apr,Crispello Dairy Milk Chocolate ,40,1,40,Gpay,,,,,,
92,4/5/2026,Apr,Bounty Chocolate,100,1,100,Gpay,,,,,,
93,4/5/2026,Apr,Lay'S Chips Blue,48,1,48,Gpay,,,,,,
94,4/5/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
95,4/5/2026,Apr,Heritage Pista Milk,30,1,30,Gpay,,,,,,
96,4/5/2026,Apr,Ice Butter scotch,25,1,25,Gpay,,,,,,
97,4/5/2026,Apr,Choco Cone Ice,25,1,25,Gpay,,,,,,
98,4/5/2026,Apr,Triple Bar Ice,40,1,40,Gpay,,,,,,
99,4/5/2026,Apr,Cavin's Kaju Butterscotch Milkshake,40,1,40,Gpay,,,,,,
100,4/5/2026,Apr,Water bottel ,25,2,50,Gpay,,,,,,
101,4/5/2026,Apr,Lay'S Chips Blue,48,2,96,Gpay,,,,,,
102,4/5/2026,Apr,Heritage Badam Milk,30,1,30,Gpay,,,,,,
103,4/5/2026,Apr,Kur Kure,30,1,30,Gpay,,,,,,
104,4/5/2026,Apr,Red Bull,125,1,125,Gpay,,,,,,
105,4/5/2026,Apr,Triple Bar Ice,40,1,40,Gpay,,,,,,
106,4/5/2026,Apr,Triple Bar Ice,40,1,40,Gpay,,,,,,
107,4/5/2026,Apr,Heritage Badam Milk,30,1,30,Cash,,,,,,
108,4/5/2026,Apr,Lotte Choco Pie,10,2,20,Cash,,,,,,
109,4/5/2026,Apr,Heritage Pista Milk,30,1,30,Cash,,,,,,
110,4/5/2026,Apr,Casated Ice,60,1,60,Gpay,,,,,,
111,4/5/2026,Apr,Water bottel ,25,1,25,Gpay,,,,,,
112,4/5/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
113,4/5/2026,Apr,Predator Energy Drink ,60,1,60,Gpay,,,,,,
114,4/5/2026,Apr,Cavin's Kaju Butterscotch Milkshake,40,1,40,Gpay,,,,,,
115,4/5/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
116,4/5/2026,Apr,Choco Bar Ice,20,1,20,Gpay,,,,,,
117,4/5/2026,Apr,Lotte Choco Pie,10,3,30,Cash,,,,,,
118,4/6/2026,Apr,Gold Flake Indie Mint ,115,1,115,Gpay,,,,,,
119,4/6/2026,Apr,Bingo Mad angels Chips,50,1,50,Cash,,,,,,
120,4/6/2026,Apr,Water bottel ,25,1,25,Gpay,,,,,,
121,4/6/2026,Apr,Water bottel ,25,1,25,Cash,,,,,,
122,4/6/2026,Apr,Kit Kat Chocolate,20,1,20,Gpay,,,,,,
123,4/6/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
124,4/6/2026,Apr,Crispello Dairy Milk Chocolate ,40,1,40,Gpay,,,,,,
125,4/6/2026,Apr,Snickers Chocolate penut Bar,50,1,50,Gpay,,,,,,
126,4/6/2026,Apr,Choco Bar Ice,20,1,20,Gpay,,,,,,
127,4/6/2026,Apr,Ice Cream Sandwich,30,1,30,Gpay,,,,,,
128,4/6/2026,Apr,Crispello Dairy Milk Chocolate ,40,1,40,Gpay,,,,,,
129,4/6/2026,Apr,Kit Kat Chocolate,20,1,20,Gpay,,,,,,
130,4/6/2026,Apr,Bingo Chili Chips,50,1,50,Gpay,,,,,,
131,4/7/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
132,4/7/2026,Apr,Sprite Drink,40,1,40,Gpay,,,,,,
133,4/7/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
134,4/7/2026,Apr,Kit Kat Chocolate,20,1,20,Gpay,,,,,,
135,4/7/2026,Apr,Sprite Drink,40,1,40,Gpay,,,,,,
136,4/7/2026,Apr,Water bottel ,25,1,25,Gpay,,,,,,
137,4/7/2026,Apr,Gold Flake Indie Mint ,115,2,230,Gpay,,,,,,
138,4/7/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
139,4/7/2026,Apr,Snickers Chocolate Bar,45,2,90,Gpay,,,,,,
140,4/7/2026,Apr,Choco Bar Ice,20,1,20,Gpay,,,,,,
141,4/7/2026,Apr,Kulfi Ice,25,1,25,Gpay,,,,,,
142,4/7/2026,Apr,Heritage Pista Milk,30,1,30,Gpay,,,,,,
143,4/8/2026,Apr,Kulfi Ice,25,1,25,Gpay,,,,,,
144,4/8/2026,Apr,Triple Bar Ice,50,2,100,Gpay,,,,,,
145,4/8/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
146,4/8/2026,Apr,Snickers Chocolate Bar,45,2,90,Gpay,,,,,,
147,4/8/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
148,4/8/2026,Apr,Triple Bar ButterSocotch Ice,40,1,40,Gpay,,,,,,
149,4/8/2026,Apr,Triple Bar Three Largero Ice,40,1,40,Gpay,,,,,,
150,4/8/2026,Apr,Lay'S Chips Blue,48,1,48,Gpay,,,,,,
151,4/8/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
152,4/8/2026,Apr,Crispello Dairy Milk Chocolate ,40,2,80,Gpay,,,,,,
153,4/8/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
154,4/8/2026,Apr,Red Bull,125,1,125,Cash,,,,,,
155,4/8/2026,Apr,Crispello Dairy Milk Chocolate ,40,1,40,Gpay,,,,,,
156,4/8/2026,Apr,Lotte Choco Pie,10,3,30,Gpay,,,,,,
157,4/9/2026,Apr,Snickers Chocolate Bar,45,1,45,Gpay,,,,,,
158,4/9/2026,Apr,Bingo Chili Chips,50,1,50,Gpay,,,,,,
159,4/9/2026,Apr,Crispello Dairy Milk Chocolate ,40,1,40,Gpay,,,,,,
160,4/9/2026,Apr,Triple Bar ButterSocotch Ice,40,1,40,Gpay,,,,,,
161,4/9/2026,Apr,Junier Butter Scotch Cone Ice,25,3,75,Gpay,,,,,,
162,4/9/2026,Apr,Kulfi Ice,25,1,25,Gpay,,,,,,
163,4/9/2026,Apr,Bingo Mad angels Chips,50,1,50,Gpay,,,,,,
164,4/9/2026,Apr,Crispello Dairy Milk Chocolate ,40,1,40,Gpay,,,,,,
165,4/9/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
166,4/9/2026,Apr,Sprite Drink,40,1,40,Cash,,,,,,
167,4/9/2026,Apr,Thums Up Drink,40,1,40,Gpay,,,,,,
168,4/9/2026,Apr,Cavin's Kaju Butterscotch Milkshake,40,1,40,Gpay,,,,,,
169,4/9/2026,Apr,Sprite Drink,40,1,40,Cash,,,,,,
170,4/9/2026,Apr,Red Bull,125,1,125,Gpay,,,,,,
171,4/9/2026,Apr,Kulfi Badam Ice,25,1,25,Gpay,,,,,,
172,4/9/2026,Apr,Kulfi Rose Ice,25,1,25,Gpay,,,,,,
173,4/9/2026,Apr,Gold Flake Indie Mint ,115,2,230,Gpay,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
